time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-13 00:00:00+00:00,10.0,10.0,1.0,1.0
2025-06-14 00:00:00+00:00,22.0,7.0,,
2025-06-15 00:00:00+00:00,3.0,3.0,,
2025-06-16 00:00:00+00:00,68.0,8.0,4.0,3.0
2025-06-17 00:00:00+00:00,51.0,6.0,5.0,1.0
2025-06-18 00:00:00+00:00,7.0,7.0,5.0,3.0
2025-06-19 00:00:00+00:00,4.0,4.0,1.0,1.0
2025-06-20 00:00:00+00:00,4.0,4.0,,
2025-06-21 00:00:00+00:00,3.0,3.0,,
2025-06-22 00:00:00+00:00,5.0,5.0,2.0,2.0
2025-06-23 00:00:00+00:00,3.0,3.0,,
2025-06-24 00:00:00+00:00,5.0,5.0,4.0,1.0
2025-06-25 00:00:00+00:00,5.0,5.0,4.0,2.0
2025-06-26 00:00:00+00:00,,,3.0,2.0
