time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-06 00:00:00+00:00,3.0,2.0,2.0,2.0
2024-08-07 00:00:00+00:00,,,4.0,4.0
2024-08-08 00:00:00+00:00,,,3.0,1.0
2024-08-09 00:00:00+00:00,2.0,1.0,3.0,2.0
2024-08-10 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-08-11 00:00:00+00:00,2.0,1.0,2.0,1.0
2024-08-12 00:00:00+00:00,4.0,2.0,21.0,2.0
2024-08-14 00:00:00+00:00,1.0,1.0,24.0,2.0
2024-08-15 00:00:00+00:00,,,9.0,1.0
2024-08-16 00:00:00+00:00,,,1.0,1.0
2024-08-18 00:00:00+00:00,1.0,1.0,,
2024-08-19 00:00:00+00:00,,,67.0,19.0
