time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-28 00:00:00+00:00,16,3,,
2022-08-29 00:00:00+00:00,36,4,10.0,2.0
2022-08-30 00:00:00+00:00,7,3,4.0,2.0
2022-08-31 00:00:00+00:00,24,4,4.0,4.0
2022-09-01 00:00:00+00:00,19,5,10.0,3.0
2022-09-02 00:00:00+00:00,3,2,1.0,1.0
2022-09-03 00:00:00+00:00,3,2,,
2022-09-04 00:00:00+00:00,33,6,,
2022-09-05 00:00:00+00:00,49,4,,
2022-09-06 00:00:00+00:00,56,4,5.0,2.0
2022-09-07 00:00:00+00:00,36,5,5.0,3.0
2022-09-08 00:00:00+00:00,21,4,2.0,1.0
2022-09-09 00:00:00+00:00,5,4,12.0,2.0
2022-09-10 00:00:00+00:00,1,1,,
