time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,10,5,1,1
2026-04-12 00:00:00+00:00,3,3,0,0
2026-04-13 00:00:00+00:00,11,6,3,3
2026-04-14 00:00:00+00:00,5,5,0,0
2026-04-15 00:00:00+00:00,24,7,0,0
2026-04-16 00:00:00+00:00,9,7,9,2
2026-04-17 00:00:00+00:00,39,12,1,1
2026-04-18 00:00:00+00:00,10,5,0,0
2026-04-19 00:00:00+00:00,24,10,0,0
2026-04-20 00:00:00+00:00,62,22,0,0
2026-04-21 00:00:00+00:00,49,23,0,0
2026-04-22 00:00:00+00:00,69,28,0,0
2026-04-23 00:00:00+00:00,67,28,37,2
2026-04-24 00:00:00+00:00,44,22,9,3
