time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,22,7,2.0,1.0
2022-08-15 00:00:00+00:00,33,4,4.0,3.0
2022-08-16 00:00:00+00:00,10,5,,
2022-08-17 00:00:00+00:00,37,6,,
2022-08-18 00:00:00+00:00,14,5,15.0,3.0
2022-08-19 00:00:00+00:00,3,3,,
2022-08-20 00:00:00+00:00,4,3,,
2022-08-21 00:00:00+00:00,17,5,3.0,2.0
2022-08-22 00:00:00+00:00,21,5,,
2022-08-23 00:00:00+00:00,25,3,8.0,1.0
2022-08-24 00:00:00+00:00,40,4,1.0,1.0
2022-08-25 00:00:00+00:00,27,3,,
2022-08-26 00:00:00+00:00,4,3,7.0,2.0
2022-08-27 00:00:00+00:00,6,2,,
