time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-07 00:00:00+00:00,1.0,1.0,,
2024-04-08 00:00:00+00:00,2.0,2.0,,
2024-04-09 00:00:00+00:00,4.0,4.0,2.0,2.0
2024-04-10 00:00:00+00:00,2.0,2.0,6.0,1.0
2024-04-11 00:00:00+00:00,32.0,6.0,2.0,1.0
2024-04-12 00:00:00+00:00,40.0,4.0,10.0,1.0
2024-04-13 00:00:00+00:00,1.0,1.0,,
2024-04-14 00:00:00+00:00,7.0,3.0,1.0,1.0
2024-04-15 00:00:00+00:00,49.0,5.0,17.0,3.0
2024-04-16 00:00:00+00:00,39.0,4.0,,
2024-04-17 00:00:00+00:00,17.0,5.0,2.0,1.0
2024-04-18 00:00:00+00:00,57.0,7.0,11.0,2.0
2024-04-19 00:00:00+00:00,66.0,6.0,16.0,2.0
2024-04-20 00:00:00+00:00,,,6.0,4.0
