time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-04 00:00:00+00:00,36,31,1.0,1.0
2024-01-05 00:00:00+00:00,7,7,18.0,2.0
2024-01-06 00:00:00+00:00,34,30,,
2024-01-07 00:00:00+00:00,5,5,,
2024-01-08 00:00:00+00:00,10,6,,
2024-01-09 00:00:00+00:00,139,127,5.0,3.0
2024-01-10 00:00:00+00:00,229,177,3.0,2.0
2024-01-11 00:00:00+00:00,283,216,,
2024-01-12 00:00:00+00:00,171,138,,
2024-01-13 00:00:00+00:00,70,55,,
2024-01-14 00:00:00+00:00,10,7,,
2024-01-15 00:00:00+00:00,77,40,2.0,1.0
2024-01-16 00:00:00+00:00,150,91,1.0,1.0
2024-01-17 00:00:00+00:00,450,291,11.0,1.0
