time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-08 00:00:00+00:00,17,6,2.0,1.0
2022-06-09 00:00:00+00:00,13,5,3.0,2.0
2022-06-10 00:00:00+00:00,5,5,9.0,3.0
2022-06-11 00:00:00+00:00,2,2,1.0,1.0
2022-06-12 00:00:00+00:00,43,6,,
2022-06-13 00:00:00+00:00,12,6,13.0,4.0
2022-06-14 00:00:00+00:00,31,9,3.0,3.0
2022-06-15 00:00:00+00:00,20,5,3.0,2.0
2022-06-16 00:00:00+00:00,14,6,1.0,1.0
2022-06-17 00:00:00+00:00,3,3,2.0,2.0
2022-06-18 00:00:00+00:00,5,5,2.0,1.0
2022-06-19 00:00:00+00:00,30,7,1.0,1.0
2022-06-20 00:00:00+00:00,17,5,4.0,1.0
2022-06-21 00:00:00+00:00,25,3,1.0,1.0
