time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-08 00:00:00+00:00,12,4,1.0,1.0
2024-05-09 00:00:00+00:00,18,5,4.0,3.0
2024-05-10 00:00:00+00:00,11,5,8.0,2.0
2024-05-11 00:00:00+00:00,1,1,,
2024-05-12 00:00:00+00:00,6,3,,
2024-05-13 00:00:00+00:00,7,4,1.0,1.0
2024-05-14 00:00:00+00:00,29,5,3.0,2.0
2024-05-15 00:00:00+00:00,88,6,4.0,2.0
2024-05-16 00:00:00+00:00,30,6,2.0,1.0
2024-05-17 00:00:00+00:00,25,5,2.0,2.0
2024-05-18 00:00:00+00:00,15,4,11.0,2.0
2024-05-19 00:00:00+00:00,4,4,2.0,1.0
2024-05-20 00:00:00+00:00,46,4,,
2024-05-21 00:00:00+00:00,18,3,6.0,2.0
