time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,15,6,3,3
2026-05-07 00:00:00+00:00,21,14,4,3
2026-05-08 00:00:00+00:00,41,10,0,0
2026-05-09 00:00:00+00:00,13,4,1,1
2026-05-10 00:00:00+00:00,12,6,0,0
2026-05-11 00:00:00+00:00,16,7,10,2
2026-05-12 00:00:00+00:00,8,7,0,0
2026-05-13 00:00:00+00:00,11,6,1,1
2026-05-14 00:00:00+00:00,13,4,1,1
2026-05-15 00:00:00+00:00,12,6,0,0
2026-05-16 00:00:00+00:00,13,8,0,0
2026-05-17 00:00:00+00:00,2,2,0,0
2026-05-18 00:00:00+00:00,25,8,1,1
2026-05-19 00:00:00+00:00,17,8,1,1
