time_iso8601,forks_cumulative
2017-04-03 00:00:00+00:00,1
2017-04-18 00:00:00+00:00,2
2018-12-17 00:00:00+00:00,3
2018-12-22 00:00:00+00:00,4
2020-04-13 00:00:00+00:00,5
2020-04-29 00:00:00+00:00,6
2020-10-13 00:00:00+00:00,7
2020-12-12 00:00:00+00:00,8
2021-05-19 00:00:00+00:00,9
2021-06-01 00:00:00+00:00,10
2021-06-27 00:00:00+00:00,11
2023-01-08 00:00:00+00:00,12
2025-03-25 00:00:00+00:00,13
