time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-09 00:00:00+00:00,5,4,12,2
2022-09-10 00:00:00+00:00,3,3,0,0
2022-09-11 00:00:00+00:00,39,3,15,1
2022-09-12 00:00:00+00:00,35,3,3,2
2022-09-13 00:00:00+00:00,27,3,1,1
2022-09-14 00:00:00+00:00,43,6,5,1
2022-09-15 00:00:00+00:00,22,5,3,1
2022-09-16 00:00:00+00:00,5,4,3,2
2022-09-17 00:00:00+00:00,5,4,4,1
2022-09-18 00:00:00+00:00,21,6,0,0
2022-09-19 00:00:00+00:00,17,5,0,0
2022-09-20 00:00:00+00:00,18,6,2,2
2022-09-21 00:00:00+00:00,44,6,4,1
2022-09-22 00:00:00+00:00,43,3,6,2
2022-09-23 00:00:00+00:00,5,3,1,1
2022-09-24 00:00:00+00:00,5,4,2,1
2022-09-25 00:00:00+00:00,10,5,0,0
2022-09-26 00:00:00+00:00,8,4,1,1
2022-09-27 00:00:00+00:00,3,2,1,1
2022-09-28 00:00:00+00:00,55,4,7,2
2022-09-29 00:00:00+00:00,72,5,3,3
2022-09-30 00:00:00+00:00,6,4,1,1
2022-10-01 00:00:00+00:00,3,2,3,2
2022-10-02 00:00:00+00:00,37,3,6,1
2022-10-03 00:00:00+00:00,38,4,7,1
2022-10-04 00:00:00+00:00,3,2,4,2
2022-10-05 00:00:00+00:00,7,2,1,1
2022-10-06 00:00:00+00:00,30,6,2,1
2022-10-07 00:00:00+00:00,8,4,0,0
2022-10-08 00:00:00+00:00,5,4,0,0
2022-10-09 00:00:00+00:00,7,2,8,3
2022-10-10 00:00:00+00:00,6,5,40,2
2022-10-11 00:00:00+00:00,24,3,1,1
2022-10-12 00:00:00+00:00,50,4,2,2
2022-10-13 00:00:00+00:00,4,3,2,2
2022-10-14 00:00:00+00:00,5,4,4,2
2022-10-15 00:00:00+00:00,4,3,0,0
2022-10-16 00:00:00+00:00,7,2,0,0
2022-10-17 00:00:00+00:00,6,5,1,1
2022-10-18 00:00:00+00:00,28,7,0,0
2022-10-19 00:00:00+00:00,64,7,2,2
2022-10-20 00:00:00+00:00,11,3,1,1
2022-10-21 00:00:00+00:00,4,3,2,2
2022-10-22 00:00:00+00:00,6,5,1,1
2022-10-23 00:00:00+00:00,35,7,2,2
2022-10-24 00:00:00+00:00,75,4,2,2
2022-10-25 00:00:00+00:00,76,9,15,3
2022-10-26 00:00:00+00:00,54,7,9,4
2022-10-27 00:00:00+00:00,27,6,1,1
2022-10-28 00:00:00+00:00,6,5,9,3
2022-10-29 00:00:00+00:00,4,3,19,3
2022-10-30 00:00:00+00:00,19,5,2,2
2022-10-31 00:00:00+00:00,21,3,6,2
2022-11-01 00:00:00+00:00,5,4,3,2
2022-11-02 00:00:00+00:00,30,5,6,3
2022-11-03 00:00:00+00:00,13,5,12,3
2022-11-04 00:00:00+00:00,5,4,4,4
2022-11-05 00:00:00+00:00,3,2,8,5
2022-11-06 00:00:00+00:00,56,5,18,3
2022-11-07 00:00:00+00:00,34,5,12,3
2022-11-08 00:00:00+00:00,17,9,4,2
2022-11-09 00:00:00+00:00,33,8,2,1
2022-11-10 00:00:00+00:00,69,7,4,2
2022-11-11 00:00:00+00:00,5,4,5,4
2022-11-12 00:00:00+00:00,3,2,6,2
2022-11-13 00:00:00+00:00,32,4,1,1
2022-11-14 00:00:00+00:00,70,7,8,2
2022-11-15 00:00:00+00:00,44,6,2,2
2022-11-16 00:00:00+00:00,43,5,9,3
2022-11-17 00:00:00+00:00,61,3,5,3
2022-11-18 00:00:00+00:00,7,5,13,4
2022-11-19 00:00:00+00:00,7,4,2,1
2022-11-20 00:00:00+00:00,47,3,2,1
2022-11-21 00:00:00+00:00,42,5,2,2
2022-11-22 00:00:00+00:00,29,6,2,2
2022-11-23 00:00:00+00:00,45,3,2,2
2022-11-24 00:00:00+00:00,75,5,2,2
2022-11-25 00:00:00+00:00,3,2,4,1
2022-11-26 00:00:00+00:00,5,2,1,1
2022-11-27 00:00:00+00:00,28,4,2,2
2022-11-28 00:00:00+00:00,74,4,7,3
2022-11-29 00:00:00+00:00,73,7,8,3
2022-11-30 00:00:00+00:00,31,7,9,3
2022-12-01 00:00:00+00:00,34,4,2,1
2022-12-02 00:00:00+00:00,4,3,1,1
2022-12-03 00:00:00+00:00,5,2,1,1
2022-12-04 00:00:00+00:00,31,3,1,1
2022-12-05 00:00:00+00:00,33,6,3,2
2022-12-06 00:00:00+00:00,28,8,8,6
2022-12-07 00:00:00+00:00,47,5,7,3
2022-12-08 00:00:00+00:00,19,3,16,4
2022-12-09 00:00:00+00:00,8,6,21,3
2022-12-10 00:00:00+00:00,6,3,1,1
2022-12-11 00:00:00+00:00,39,3,4,2
2022-12-12 00:00:00+00:00,43,3,3,2
2022-12-13 00:00:00+00:00,19,5,1,1
2022-12-14 00:00:00+00:00,18,4,2,1
2022-12-15 00:00:00+00:00,12,3,9,4
2022-12-16 00:00:00+00:00,3,2,1,1
2022-12-17 00:00:00+00:00,3,2,2,1
2022-12-18 00:00:00+00:00,4,3,1,1
2022-12-19 00:00:00+00:00,3,2,3,2
2022-12-20 00:00:00+00:00,6,5,1,1
2022-12-21 00:00:00+00:00,3,2,3,3
2022-12-22 00:00:00+00:00,6,5,1,1
2022-12-23 00:00:00+00:00,5,4,1,1
2022-12-24 00:00:00+00:00,4,3,0,0
2022-12-25 00:00:00+00:00,3,2,0,0
2022-12-26 00:00:00+00:00,3,2,5,1
2022-12-27 00:00:00+00:00,4,3,1,1
2022-12-28 00:00:00+00:00,4,3,4,1
2022-12-29 00:00:00+00:00,10,6,1,1
2022-12-30 00:00:00+00:00,2,2,0,0
2022-12-31 00:00:00+00:00,6,4,0,0
2023-01-01 00:00:00+00:00,3,2,0,0
2023-01-02 00:00:00+00:00,3,2,1,1
2023-01-03 00:00:00+00:00,14,9,0,0
2023-01-04 00:00:00+00:00,29,7,6,2
2023-01-05 00:00:00+00:00,14,3,0,0
2023-01-06 00:00:00+00:00,1,1,0,0
2023-01-07 00:00:00+00:00,5,3,0,0
2023-01-08 00:00:00+00:00,4,3,23,3
2023-01-09 00:00:00+00:00,7,4,1,1
2023-01-10 00:00:00+00:00,6,5,28,6
2023-01-11 00:00:00+00:00,3,2,7,2
2023-01-12 00:00:00+00:00,4,3,5,4
2023-01-13 00:00:00+00:00,5,2,1,1
2023-01-14 00:00:00+00:00,5,3,0,0
2023-01-15 00:00:00+00:00,6,4,2,1
2023-01-16 00:00:00+00:00,4,3,2,2
2023-01-17 00:00:00+00:00,6,5,5,1
2023-01-18 00:00:00+00:00,5,4,3,2
2023-01-19 00:00:00+00:00,3,2,0,0
2023-01-20 00:00:00+00:00,1,1,4,2
2023-01-21 00:00:00+00:00,3,2,0,0
2023-01-22 00:00:00+00:00,3,2,1,1
2023-01-23 00:00:00+00:00,423,7,0,0
2023-01-24 00:00:00+00:00,6,3,0,0
2023-01-25 00:00:00+00:00,7,4,10,2
2023-01-26 00:00:00+00:00,6,3,1,1
2023-01-27 00:00:00+00:00,14,5,4,1
2023-01-28 00:00:00+00:00,7,4,0,0
2023-01-29 00:00:00+00:00,7,4,4,2
2023-01-30 00:00:00+00:00,8,5,12,5
2023-01-31 00:00:00+00:00,8,3,15,2
2023-02-01 00:00:00+00:00,7,4,3,1
2023-02-02 00:00:00+00:00,9,4,22,6
2023-02-03 00:00:00+00:00,2,2,10,5
2023-02-04 00:00:00+00:00,4,3,9,3
2023-02-05 00:00:00+00:00,5,2,0,0
2023-02-06 00:00:00+00:00,3,3,36,4
2023-02-07 00:00:00+00:00,117,5,7,4
2023-02-08 00:00:00+00:00,13,3,22,4
2023-02-09 00:00:00+00:00,1,1,66,5
2023-02-10 00:00:00+00:00,9,5,3,1
2023-02-11 00:00:00+00:00,2,2,6,1
2023-02-12 00:00:00+00:00,1,1,7,2
2023-02-13 00:00:00+00:00,2,2,0,0
2023-02-14 00:00:00+00:00,2,2,4,3
2023-02-15 00:00:00+00:00,14,3,18,3
2023-02-16 00:00:00+00:00,1,1,4,2
2023-02-17 00:00:00+00:00,3,3,13,5
2023-02-18 00:00:00+00:00,7,3,4,1
2023-02-19 00:00:00+00:00,3,2,0,0
2023-02-20 00:00:00+00:00,5,4,1,1
2023-02-21 00:00:00+00:00,5,4,1,1
2023-02-22 00:00:00+00:00,1,1,4,3
2023-02-23 00:00:00+00:00,2,2,1,1
2023-02-24 00:00:00+00:00,4,3,7,3
2023-02-25 00:00:00+00:00,1,1,16,2
2023-02-26 00:00:00+00:00,3,3,0,0
2023-02-27 00:00:00+00:00,78,6,25,5
2023-02-28 00:00:00+00:00,2,2,11,2
2023-03-01 00:00:00+00:00,5,4,14,4
2023-03-02 00:00:00+00:00,5,4,6,2
2023-03-03 00:00:00+00:00,2,2,6,2
2023-03-04 00:00:00+00:00,1,1,4,1
2023-03-05 00:00:00+00:00,3,3,0,0
2023-03-06 00:00:00+00:00,6,6,10,2
2023-03-07 00:00:00+00:00,5,3,7,2
2023-03-08 00:00:00+00:00,5,3,4,3
2023-03-09 00:00:00+00:00,2,2,19,4
2023-03-10 00:00:00+00:00,1,1,10,2
2023-03-11 00:00:00+00:00,2,2,1,1
2023-03-12 00:00:00+00:00,2,2,3,2
2023-03-13 00:00:00+00:00,3,3,0,0
2023-03-14 00:00:00+00:00,2,2,5,2
2023-03-15 00:00:00+00:00,3,2,6,5
2023-03-16 00:00:00+00:00,2,2,1,1
2023-03-17 00:00:00+00:00,1,1,2,1
2023-03-18 00:00:00+00:00,1,1,0,0
2023-03-19 00:00:00+00:00,2,2,0,0
2023-03-20 00:00:00+00:00,6,5,2,2
2023-03-21 00:00:00+00:00,5,3,2,2
2023-03-22 00:00:00+00:00,2,2,22,4
2023-03-23 00:00:00+00:00,2,2,23,3
2023-03-24 00:00:00+00:00,1,1,3,1
2023-03-25 00:00:00+00:00,2,2,1,1
2023-03-26 00:00:00+00:00,1,1,0,0
2023-03-27 00:00:00+00:00,4,4,5,1
2023-03-28 00:00:00+00:00,1,1,1,1
2023-03-29 00:00:00+00:00,2,2,18,3
2023-03-30 00:00:00+00:00,2,2,1,1
2023-03-31 00:00:00+00:00,2,2,0,0
2023-04-01 00:00:00+00:00,1,1,0,0
2023-04-02 00:00:00+00:00,2,2,0,0
2023-04-03 00:00:00+00:00,2,2,19,6
2023-04-04 00:00:00+00:00,2,2,2,2
2023-04-05 00:00:00+00:00,1,1,0,0
2023-04-06 00:00:00+00:00,2,2,2,2
2023-04-07 00:00:00+00:00,2,2,2,2
2023-04-08 00:00:00+00:00,2,2,0,0
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,3,3,1,1
2023-04-11 00:00:00+00:00,7,6,6,3
2023-04-12 00:00:00+00:00,5,5,0,0
2023-04-13 00:00:00+00:00,1,1,0,0
2023-04-14 00:00:00+00:00,1,1,9,2
2023-04-15 00:00:00+00:00,1,1,0,0
2023-04-16 00:00:00+00:00,1,1,5,2
2023-04-17 00:00:00+00:00,3,3,1,1
2023-04-18 00:00:00+00:00,1,1,7,3
2023-04-19 00:00:00+00:00,3,3,1,1
2023-04-20 00:00:00+00:00,1,1,22,2
2023-04-21 00:00:00+00:00,5,3,0,0
2023-04-22 00:00:00+00:00,1,1,0,0
2023-04-23 00:00:00+00:00,3,2,0,0
2023-04-24 00:00:00+00:00,15,4,4,3
2023-04-25 00:00:00+00:00,1,1,2,1
2023-04-26 00:00:00+00:00,1,1,2,2
2023-04-27 00:00:00+00:00,1,1,4,3
2023-04-28 00:00:00+00:00,2,2,4,1
2023-04-29 00:00:00+00:00,4,3,4,1
2023-04-30 00:00:00+00:00,1,1,1,1
2023-05-01 00:00:00+00:00,3,3,1,1
2023-05-02 00:00:00+00:00,2,2,4,3
2023-05-03 00:00:00+00:00,1,1,17,2
2023-05-04 00:00:00+00:00,1,1,2,2
2023-05-05 00:00:00+00:00,1,1,1,1
2023-05-06 00:00:00+00:00,1,1,0,0
2023-05-07 00:00:00+00:00,3,3,0,0
2023-05-08 00:00:00+00:00,4,4,4,1
2023-05-09 00:00:00+00:00,1,1,5,2
2023-05-10 00:00:00+00:00,1,1,9,3
2023-05-11 00:00:00+00:00,3,3,5,2
2023-05-12 00:00:00+00:00,1,1,4,1
2023-05-13 00:00:00+00:00,2,2,0,0
2023-05-14 00:00:00+00:00,1,1,0,0
2023-05-15 00:00:00+00:00,4,4,0,0
2023-05-16 00:00:00+00:00,1,1,4,3
2023-05-17 00:00:00+00:00,2,2,2,2
2023-05-18 00:00:00+00:00,1,1,0,0
2023-05-19 00:00:00+00:00,3,3,1,1
